iter	Passed	Remaining
560	3495	2735
561	3501	2728
562	3505	2721
563	3510	2714
564	3515	2706
565	3519	2698
566	3524	2691
567	3529	2684
568	3534	2677
569	3538	2669
570	3544	2662
571	3548	2655
572	3553	2647
573	3558	2640
574	3563	2633
575	3567	2626
576	3571	2618
577	3577	2611
578	3581	2604
579	3586	2597
580	3591	2590
581	3596	2583
582	3601	2575
583	3606	2568
584	3611	2562
585	3616	2555
586	3621	2547
587	3629	2542
588	3633	2535
589	3638	2528
590	3643	2521
591	3648	2514
592	3652	2506
593	3659	2501
594	3663	2493
595	3668	2486
596	3673	2479
597	3678	2472
598	3684	2466
599	3691	2461
600	3698	2455
601	3707	2450
602	3714	2445
603	3720	2439
604	3726	2433
605	3732	2426
606	3739	2420
607	3744	2413
608	3749	2407
609	3756	2401
610	3761	2394
611	3768	2388
612	3773	2382
613	3779	2375
614	3785	2369
615	3791	2363
616	3796	2356
617	3803	2350
618	3807	2343
619	3812	2336
620	3818	2330
621	3824	2324
622	3829	2317
623	3837	2312
624	3844	2306
625	3851	2301
626	3856	2294
627	3862	2288
628	3870	2282
629	3875	2276
630	3882	2270
631	3888	2264
632	3893	2257
633	3899	2250
634	3903	2243
635	3907	2236
636	3913	2229
637	3917	2222
638	3922	2215
639	3926	2208
640	3933	2202
641	3937	2195
642	3942	2188
643	3947	2182
644	3953	2175
645	3957	2168
646	3962	2162
647	3967	2155
648	3971	2147
649	3976	2140
650	3982	2134
651	3987	2128
652	3991	2121
653	3997	2115
654	4002	2108
655	4007	2101
656	4012	2094
657	4017	2087
658	4021	2081
659	4027	2074
660	4034	2069
661	4039	2062
662	4044	2056
663	4049	2049
664	4053	2042
665	4058	2035
666	4064	2029
667	4069	2022
668	4074	2015
669	4079	2009
670	4084	2002
671	4088	1995
672	4094	1989
673	4099	1982
674	4104	1976
675	4109	1969
676	4114	1962
677	4118	1956
678	4124	1949
679	4128	1942
680	4133	1936
681	4137	1929
682	4143	1923
683	4148	1916
684	4152	1909
685	4158	1903
686	4163	1896
687	4167	1890
688	4175	1884
689	4181	1878
690	4185	1871
691	4191	1865
692	4196	1859
693	4201	1852
694	4208	1846
695	4213	1840
696	4218	1833
697	4224	1827
698	4228	1820
699	4233	1814
700	4238	1807
701	4243	1801
702	4248	1794
703	4255	1789
704	4262	1783
705	4282	1783
706	4304	1784
707	4310	1777
708	4335	1779
709	4349	1776
710	4354	1770
711	4368	1767
712	4374	1760
713	4382	1755
714	4388	1749
715	4395	1743
716	4411	1741
717	4417	1735
718	4423	1728
719	4428	1722
720	4440	1718
721	4448	1712
722	4455	1707
723	4467	1703
